Run_ID,sh,dr,rr,T_chu,kb,v,T_IN,Medium_Type,Tf,WZ,LSX,LSY,SLHD,kx,df,lxts,gdk,gdts,Time,HCLM,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,35,34.51777003,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,36,34.41520725,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,37,34.32697787,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,38,34.2387485,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,39,34.15051912,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,40,34.06228974,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,41,33.97406037,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,42,33.88583099,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,43,33.79760162,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,44,33.70937224,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,45,33.62189064,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,46,33.54203055,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,47,33.46217047,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,48,33.38231038,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,49,33.30245029,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,50,33.22259021,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,51,33.14273012,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,52,33.06287004,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,53,32.98300995,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,54,32.90354253,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,55,32.82807726,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,56,32.75261199,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,57,32.67714671,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,58,32.60168144,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,59,32.52621617,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,60,32.4507509,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,61,32.37528563,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,62,32.29982036,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,63,32.22466237,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,64,32.15263629,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,65,32.08061021,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,66,32.00858414,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,67,31.93655806,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,68,31.86453198,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,69,31.79250591,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,70,31.72047983,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,71,31.64845375,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,72,31.57652235,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,73,31.50568292,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,74,31.43507664,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,75,31.36470353,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,76,31.29456357,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,77,31.22465678,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,78,31.15498315,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,79,31.08554269,
1,131.7961183,3.296513041,290.6122621,18.65824215,0.402103454,0.663455471,30.07944506,0,0,0,0,0,0,0.1,0,0,0,0,80,31.01633538,
